Anchieta,
Barro Preto,
Belvedere,
Boa Viagem,
Carmo,
Centro,
Cidade Jardim,
Conjunto Santa Maria,
Coração de Jesus,
Cruzeiro,
Funcionários,
Lourdes,
Luxemburgo,
Mangabeiras,
Santa Lúcia,
Santo Agostinho,
Santo Antônio,
São Bento,
São Lucas,
São Pedro,
Savassi,
Serra,
Sion,
Vila Bandeirantes,
Vila Barragem Santa Lúcia,
Vila FUMEC,
Vila Paris
